YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,UGM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,UGM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2008,Parliament,Adansi Asokwa,Ashanti,34100,24976,24524,,13659,,,9219,314,,1332,,,,,,,,,,,,,,,,,,,,,,,Kobina Tahir Hammond,,,Alhaji Abdul-Lateef Madjoub,Amoako Anaafi,,Owusu-Boamah Francis,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Afigya-Sekyere South,Ashanti,,,33516,,"27,460",,"3,329",,,,,729,,,,,,,,,,,,,,,,,,"1,998",,,,Emmanuel Asamoa Owusu-Ansah,,JOSEPH BOACHE DANQUAH,,,,,OSEI KWADWO,,,,,,,,,,,,,,,,,,AKUA DONKOR,,,
2008,Parliament,Afigya-Sekyere East,Ashanti,57040,43839,43505,,33080,,257,9401,,127,640,,,,,,,,,,,,,,,,,,,,,,,Hennric David Yeboah,,Osman Isshak,Edward Ayarkwah,,Amidu Alhaji Adam,Obeng Nyantakyi Clement,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Afigya-Sekyere North,Ashanti,24371,19061,18747,,13824,,240,4325,,,358,,,,,,,,,,,,,,,,,,,,,,,Albert Kan Dapaah,,Joyce Oduro,Joseph Baah,,,James Gyimah Dabo,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Ahafo Ano North,Ashanti,40949,31576,31196,,16080,,342,14665,,,109,,,,,,,,,,,,,,,,,,,,,,,Richard Akuoko Adiyiah,,Attah Sampson,D.K. Addai-Amankwah,,,Joseph Akpabli,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Ahafo Ano South,Ashanti,50840,38543,37936,,21585,,347,15008,,,327,,,,,,,,,,,,,,,,,,,433,236,,,Stephen Kwaku B. Manu,,Nyamesem Wilson,Thomas Kwakwah,,,Acheampong J. Martin,,,,,,,,,,,,,,,,,,,Andrew Kwasi Adjapong,Yaw Agyemang,,
2008,Parliament,Akrofrom,Ashanti,20135,14824,14606,,8976,,,4730,,,719,,,,,,,,,,,,,,,,,,,181,,,,Kwabena Appiah Pinkrah,,,Opoku Ampofo Manu,,,Anthony Kwakye Ameyaw,,,,,,,,,,,,,,,,,,,Boniface Nickson,,,
2008,Parliament,Amansie-West,Ashanti,65173,49165,48257,,35274,,378,6787,,,,,,,,,,,,,,,,,,,,,,5818,,,,Grace Addo,,Mary Agyeiwaa,Kwaku Aninkora-Sie,,,,,,,,,,,,,,,,,,,,,,Stephen Cobbina Bour Karikari,,,
2008,Parliament,Asante Akim North,Ashanti,74926,55140,54407,,36809,,219,9804,,,163,232,,,,,,,,,,,,,,,,,,7180,,,,Kwame Anyimadu Antwi,,Isaac Atobra,Thomas Osei Bonsu,,,Kwabena Anarfi,Francis Kyei,,,,,,,,,,,,,,,,,,Alexander Osei Tutu,,,
2008,Parliament,Asante Akim South,Ashanti,54041,39279,38744,,23838,,,13843,,,1063,,,,,,,,,,,,,,,,,,,,,,,Mrs Gifty Ohene Konadu,,,De-Graft Forkuo,,,Quao Ebenezer,,,,,,,,,,,,,,,,,,,,,,
