YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DPP,CPP,UFP,URP,YPP,GCPP,GFP,NVP,NDP,IPC,IPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DPP_C,CPP_C,UFP_C,URP_C,YPP_C,GCPP_C,GFP_C,NVP_C,NDP_C,IPC_C,IPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2012,Parliament,Akrofuom,Ashanti,22010,18279,17924,355,10249,129,,7484,,62,,,,,,,,,,,,,,Kwabena Appiah-Pinkrah,Anthony Kwakye - Ameyaw,,Oppong Samuel,,Thomas Oteng,,,,,,,,,,,,,
2012,Parliament,Adansi Asokwa,Ashanti,37046,30994,30537,457,15796,329,,14157,,255,,,,,,,,,,,,,,Kobina Tahir Hammond,Ernest Gyimah,,Amankwah Evans,,Francis Owusu-boamah,,,,,,,,,,,,,
2012,Parliament,Afigya Kwabre North,Ashanti,29575,25644,25377,267,17597,1073,120,6207,,205,,,,,,,175,,,,,,,Nana Marfo Amaniampong,Daniel Atta Asenso Peprah,Joyce Oduro,Alex Yaw-Poku,,Duah Hubert,,,,,,,Francis Boadu,,,,,,
2012,Parliament,Afigya Kwabre South,Ashanti,66096,57621,57337,284,45841,1446,,9911,,,,,,,,,139,,,,,,,William Owuraku Aidoo,John Yaw Asubonteng,,Oppong Kyekye Kaakyire,,,,,,,,,Kwame Amaning-Kwarteng Amoako,,,,,,
2012,Parliament,Afigya Sekyere East,Ashanti,56965,50524,50090,434,35826,1792,,12285,,187,,,,,,,,,,,,,,David Hennric Yeboah,Kingsley Kwabena Yinsob,,Edward Kusi Ayarkwah,,Dorothy Gifty Antwi,,,,,,,,,,,,,
2012,Parliament,Ahafo Ano North,Ashanti,45278,38173,37669,504,18418,,,18841,,192,,,,,,,218,,,,,,,Richard Akudko Adiyia,Joseph Akpabli,,Adusei Kwasi,,Joseph Akpabli,,,,,,,Kwadwo Owusu-Ansah,,,,,,
2012,Parliament,Ahafo Ano South East,Ashanti,29163,24583,24243,340,13145,,,10860,,,,,,,,,238,,,,,,,Francis Manu-Adabor,,,Thomas Kwakwah,,,,,,,,,Opoku Darkwa Edmond,,,,,,
2012,Parliament,Ahafo Ano South West,Ashanti,30118,26184,25746,438,14344,1679,89,9499,,,,,,,,,135,,,,,,,Johnson Kwaku Adu,Paul Agyemang-Bıoh,Nyemasem Wilson,James Adjei,,,,,,,,,Opoku Agyemang Bismark,,,,,,
2012,Parliament,Asante Akim Central,Ashanti,41660,36098,33283,2815,24421,0,0,8862,,0,,,,,,,0,,,,,,,Kwame Anyimadu - Antwi,Denteh Godwin Yaw,Atobrah Isaac,Jude Atuahene,,Andrews Abrokwa Boateng,,,,,,,Emmanuel Boampong,,,,,,
2012,Parliament,Asante Akim North,Ashanti,40204,34891,34292,599,14966,,,9709,,,,,,,,,,,,8648,969,,,Kwadwo Baah Agyemang,,,Daniel Osei,,,,,,,,,,,,Anyang - Kusi Samuel,Mary Awusi,,
