YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,GUM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,LPG,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,GUM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,LPG_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2020,Presidential First Round,Asunafo South,Ahafo,,43725,42708,1017,22002,5,9,20359,,,22,,,235,,,,,8,6,,,14,,,,,21,14,,13,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Asunafo North,Ahafo,,67352,65870,1477,36737,10,30,28502,,,69,,,395,,,,,13,18,,,13,,,,,31,26,,26,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Asutifi North,Ahafo,,35616,34932,684,19141,2,9,15480,,,21,,,213,,,,,6,2,,,7,,,,,16,25,,10,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Asutifi South,Ahafo,,38972,38251,721,18246,3,12,19707,,,15,,,193,,,,,8,3,,,12,,,,,22,18,,12,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Tano North,Ahafo,,42304,41371,933,25563,13,12,15371,,,24,,,289,,,,,8,9,,,11,,,,,37,11,,23,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Tano South,Ahafo,,42269,41352,917,23895,18,11,17066,,,40,,,165,,,,,8,11,,,78,,,,,23,18,,19,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Techiman South,Bono East,,99436,97229,2209,46379,19,45,52034,,,46,,,720,,,,,16,24,,,29,,,,,54,24,,46,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Atebubu/Amantin ,Bono East,,56831,54930,1901,21728,21,40,32371,,,101,,,411,,,,,46,21,,,24,,,,,61,43,,57,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Kintampo North,Bono East,,54167,52417,1750,17998,10,29,33667,,,66,,,468,,,,,19,21,,,7,,,,,48,43,,41,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Kintampo South,Bono East,,38414,36719,1695,16461,99,37,19465,,,39,,,362,,,,,18,23,,,49,,,,,47,54,,74,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
